query_id,query_family,query_text,source,date,notes
Q001,A,"(\"negative data\" OR \"negative results\" OR inactive OR \"failed experiment\") AND (molecular OR chemical OR bioactivity OR \"drug discovery\") AND (dataset OR database OR benchmark OR \"machine learning\")",web search,2026-09-03,"Executed; returned direct negative-resource, benchmark, and bioactivity-dataset papers"
Q002,A,"(\"positive-result bias\" OR \"publication bias\" OR \"reporting bias\" OR \"selection bias\") AND (molecular OR chemical OR bioactivity OR \"drug discovery\")",web search,2026-09-03,"Executed; terminology overlaps with benchmark and experimental-bias literature"
Q003,B,"(inactive OR \"no activity\" OR \"low activity\" OR \"weak activity\" OR \"poor performance\") AND (assay OR bioactivity OR \"molecular property\" OR compound) AND (dataset OR database OR label OR benchmark)",web search,2026-09-03,"Executed; returned measured inactive and decoy-based resources"
Q004,C,"(\"dataset bias\" OR \"benchmark bias\" OR \"sampling bias\" OR \"experimental bias\") AND (molecular OR chemical OR bioactivity OR QSAR OR \"drug discovery\")",web search,2026-09-03,"Executed; returned DUD-E, CARA, coverage, and experimental-bias studies"
Q005,D,"(\"literature mining\" OR \"text mining\" OR \"information extraction\" OR \"relation extraction\") AND (chemistry OR molecular OR chemical OR \"drug discovery\") AND (property OR activity OR assay OR outcome)",web search,2026-09-03,"Executed; returned chemical extraction methods and LLM extraction review"
Q006,D,"(\"negative result extraction\" OR \"negative information extraction\" OR \"failed experiment extraction\" OR \"unsuccessful reaction\") AND (scientific literature OR chemistry OR molecular)",web search,2026-09-03,"Executed; direct hits were sparse; failed-experiment work was more visible in materials and reaction settings"
Q007,E,"(\"weak supervision\" OR \"weak label\" OR \"distant supervision\" OR pseudo-labeling) AND (molecular OR chemical OR bioactivity OR QSAR)",web search,2026-09-03,"Executed; needs a dedicated follow-up pass"
Q008,E,"(provenance OR uncertainty OR \"evidence grounding\" OR contradiction) AND (molecular dataset OR chemical dataset OR bioactivity dataset)",web search,2026-09-03,"Executed; AI-readiness and extraction-validation sources retained"
Q009,F,"(inactive OR \"negative examples\" OR \"negative data\") AND (\"molecular property prediction\" OR QSAR OR screening OR \"drug discovery\") AND (calibration OR ranking OR generalization OR robustness OR \"failure prediction\")",web search,2026-09-03,"Executed; downstream evaluation sources retained"
Q010,A,"molecular negative dataset inactive compound database experimentally measured negative examples drug discovery",web search,2026-09-03,"Second pass; found early negative-bioactivity target prediction and recent InertDB and ECBD resources"
Q011,A,"\"negative data\" \"drug discovery\" dataset inactive compounds",web search,2026-09-03,"Second pass; confirmed negative data resources and decoy-versus-measured-negative distinction"
Q012,A,"\"inactive compounds\" database bioactivity machine learning negative dataset",web search,2026-09-03,"Second pass; found InertDB, ECBD, and prior public bioactivity resources"
Q013,A,"\"negative dataset\" molecular property prediction experimentally measured inactive",web search,2026-09-03,"Second pass; found measured-negative modeling precedents and data-requirement studies"
