order,group,alias,title,year,DOI,reason,focus,question,caution,review_required
01,01 偏倚与模型影响,公开数据与企业数据对照,Identifying Differences in the Performance of Machine Learning Models for Off-Targets Trained on Publicly Available and Proprietary Data Sets,2023,10.1021/acs.chemrestox.3c00042,直接观察阳性比例与预测倾向之间的关系。,摘要；Results 中类别分布和跨来源预测结果；Discussion。,公开数据训练的模型是否更容易预测为阳性？作者能否直接量化未发表的阴性结果？,观察到的分布差异支持偏倚担忧，但不单独识别发表偏倚的因果贡献。,False
02,01 偏倚与模型影响,DUD-E 人工负例偏差,Hidden bias in the DUD-E dataset leads to misleading performance of deep learning in structure-based virtual screening,2019,10.1371/journal.pone.0220113,理解为什么看起来很高的模型分数可能来自负例设计。,摘要；仅使用配体信息的对照；Discussion。,如果不看蛋白，模型仍能得高分，它到底学到了什么？,这是人工 decoy 和数据集构造偏差，不是发表偏倚的直接测量。,False
03,01 偏倚与模型影响,CARA 真实任务评估,Benchmarking compound activity prediction for real-world drug discovery applications,2024,10.1038/s42004-024-01204-4,理解 assay 条件和测试场景为什么影响模型泛化。,数据组织示意；virtual screening 与 lead optimization 的任务定义。,相同化合物的活性为什么不能脱离实验条件比较？,评估研究不等于阴性文献遗漏率研究。,False
04,02 明确可读的阴性记录,激酶探针及其阴性对照,SGC-AAK1-1: A Chemical Probe Targeting AAK1 and BMP2K,2020,10.1021/acsmedchemlett.9b00399,在同一论文中具体观察有效探针和阴性对照类似物。,化合物16（SGC-AAK1-1N）与25（SGC-AAK1-1）的活性表和对照描述。,阴性对照针对什么靶点、什么测定成立？实验给出的是数值还是概括语句？,阴性对照不是对所有蛋白均无活性；保留浓度、测量方法和截断符号。,False
05,02 明确可读的阴性记录,PKIS 广谱激酶测试矩阵,Comprehensive characterization of the Published Kinase Inhibitor Set,2016,10.1038/nbt.3374,理解完整测试矩阵如何包含弱抑制或未达阈值的结果。,kinase profiling 的方法、热图和补充表；挑选一个化合物比较不同激酶。,哪些格子是实际测得的低抑制，哪些是未测试或缺失？,阈值化产生的是我们定义的标签，不能把低数值和缺失格子合并。在线发表2015，卷期2016。,False
06,03 阴性价值与挖掘方法,阴性数据对靶点预测的价值,Target prediction utilising negative bioactivity data covering large chemical space,2015,10.1186/s13321-015-0098-y,直接比较纳入推定阴性数据与只用阳性数据的模型。,阴性样本构建；active-only 对照；外部 WOMBAT 评估。,改善来自什么阴性数据？测试是否独立？它们是否全是确定的实验阴性？,presumed inactive 是推定阴性；本研究不是从论文自动找回阴性证据。,False
07,03 阴性价值与挖掘方法,从论文恢复生物测定上下文,Data Mining Approach for Extraction of Useful Information About Biologically Active Compounds from Publications,2019,10.1021/acs.jcim.9b00164,以 HIV 逆转录酶研究说明如何检索相关论文并抽取 assay 描述。,Figure 1；文本片段提取与分类；结论中的条件缺失限制。,抽取的是阴性结果、实体关系，还是实验描述？哪个环节可供我们复用？,这是生物测定描述抽取，不是已完成的阴性证据抽取系统。此前目录曾误写年份和标题，本轮按正式元数据校正。,False
08,03 阴性价值与挖掘方法,弱监督入门（跨领域方法补充）,Extracting chemical reactions from text using Snorkel,2020,10.1186/s12859-020-03542-1,通过 labeling functions 理解用规则生成有噪声标签。,规则示例；标签模型；评价部分。,多条规则意见冲突时怎么处理？为什么规则生成的标签还需要验证？,反应关系抽取的跨领域方法示例；不是激酶阴性挖掘的直接证据。,False
09,04 已有数据集与资源,LIT-PCBA 真实活性与非活性基准,LIT-PCBA: An Unbiased Data Set for Machine Learning and Virtual Screening,2020,10.1021/acs.jcim.0c00155,查看如何从 PubChem 实测记录整理筛选基准。,摘要；数据筛选流程；Supporting Information。,负例来自实际实验还是人工构造？作者做了哪些过滤？,标题中的 Unbiased 是论文主张，不是永久保证；不同版本和计数单位不能混用。2025有后续泄漏审计预印本，尚未独立复核。,False
10,04 已有数据集与资源,InertDB 阴性分子资源,InertDB as a generative AI-expanded resource of biologically inactive small molecules from PubChem,2025,10.1186/s13321-025-00999-1,明确与我们直接重叠的已有工作。,实测整理与生成扩展两条路线；下游对照。,哪些分子有实验记录，哪些由生成模型产生？这些证据能否混用？,生成分子不能当作实验测得的阴性观察。,False
11,04 已有数据集与资源,ECBD 完整筛选流程数据库,ECBD: European chemical biology database,2025,10.1093/nar/gkae904,查看阳性、阴性和复筛结果如何随实验流程一起保存。,数据库设计；primary screening 和 counter-screening；数据访问。,完整筛选流程的记录与论文中精选结果有何不同？,前瞻性数据保存与历史文献恢复解决的是不同环节。,False
